r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
66.27286,100,1453.052138,0.86,1.0,66.27,0.06,94.0,10.79,32.32,7.61,24.64,0.07,49.94,31.04,4.85,0.14,44.0,26.0,24.0,0.54
53.068417,100,1455.73073,0.6,3.0,53.07,0.03,97.0,5.62,24.77,4.22,20.49,0.06,67.13,32.06,3.77,0.4,58.0,39.0,0.0,0.59
53.194622,100,1459.329232,0.84,13.0,53.19,0.07,93.0,7.87,31.03,6.45,24.49,0.09,52.13,33.79,4.55,0.16,26.0,22.0,45.0,0.65
71.29071,100,1462.82392,0.96,23.0,71.29,0.06,94.0,4.04,21.14,4.2,16.85,0.09,55.85,21.15,4.02,0.04,29.0,30.0,35.0,0.67
61.711327,100,1465.933926,0.76,11.0,61.71,0.08,92.0,8.83,23.62,7.15,16.39,0.08,32.37,16.43,2.4,0.24,29.0,48.0,15.0,0.69
73.42887,100,1468.889022,0.87,7.0,73.43,0.06,94.0,6.0,24.18,5.98,18.13,0.07,72.78,33.18,4.45,0.13,43.0,27.0,24.0,0.7
63.244587,100,1471.778151,0.71,19.0,63.24,0.07,93.0,8.3,26.59,6.67,19.85,0.07,75.35,26.79,2.74,0.29,56.0,16.0,21.0,0.65
64.585335,100,1474.98054,0.87,11.0,64.59,0.06,94.0,11.53,27.81,7.69,20.02,0.1,40.67,19.58,3.38,0.13,34.0,21.0,39.0,0.75
51.623135,100,1477.906069,0.55,19.0,51.62,0.03,97.0,1.94,19.74,2.3,17.38,0.06,43.15,11.52,4.7,0.45,65.0,32.0,0.0,0.63
75.05703,100,1480.638409,0.92,7.0,75.06,0.06,94.0,5.79,25.07,4.57,20.43,0.07,71.21,26.29,3.3,0.08,35.0,35.0,24.0,0.73
69.47416,100,1483.157376,0.77,19.0,69.47,0.08,92.0,10.8,26.68,7.05,19.54,0.09,48.01,20.42,11.28,0.23,52.0,20.0,20.0,0.6
64.69925,100,1486.382997,0.83,21.0,64.7,0.08,92.0,6.93,25.53,5.73,19.72,0.08,72.66,41.23,3.28,0.17,33.0,18.0,41.0,0.53
59.863964,100,1489.622119,0.72,3.0,59.86,0.04,96.0,3.62,24.31,4.01,20.23,0.07,24.44,15.32,2.34,0.28,19.0,59.0,18.0,0.68
66.86645,100,1492.69784,0.85,21.0,66.87,0.06,94.0,5.66,25.96,6.04,19.83,0.1,36.93,15.49,5.37,0.15,18.0,37.0,39.0,0.75
69.35049,100,1495.282939,0.83,15.0,69.35,0.08,92.0,4.66,21.65,4.93,16.63,0.09,24.85,13.31,5.92,0.17,41.0,34.0,17.0,0.66
46.805714,100,1498.140954,0.47,19.0,46.81,0.04,96.0,3.12,23.65,3.33,20.25,0.07,42.38,15.89,4.28,0.53,76.0,20.0,0.0,0.6
54.017548,100,1501.10998,0.86,17.0,54.02,0.15,85.0,11.01,26.77,8.26,18.4,0.11,66.13,20.89,4.34,0.14,36.0,18.0,31.0,0.66
52.433388,100,1503.568904,0.76,5.0,52.43,0.1,90.0,7.87,23.29,6.86,16.36,0.08,83.01,26.91,4.41,0.24,47.0,28.0,15.0,0.59
40.34254,100,1506.80512,0.51,19.0,40.34,0.09,91.0,3.93,28.19,4.31,23.78,0.1,48.51,37.02,4.21,0.49,67.0,0.0,24.0,0.67
65.00123,100,1509.466761,0.8,1.0,65.0,0.08,92.0,11.63,24.32,7.76,16.48,0.08,74.12,27.91,2.42,0.2,44.0,32.0,16.0,0.69
71.17992,100,1512.753777,0.84,7.0,71.18,0.05,95.0,4.92,29.85,4.77,25.01,0.07,53.73,21.95,2.61,0.16,45.0,22.0,28.0,0.72
65.67949,100,1515.798241,0.67,3.0,65.68,0.03,97.0,2.65,24.04,3.26,20.68,0.1,38.3,23.04,1.87,0.33,15.0,19.0,63.0,0.8
