,throuput_mean,throuput_median,throuput_var,throuput_skew,throuput_kurt,avg_packet_size,std_packet_size,var_packet_size,skew_packet_size,kurt_packet_size,inter_arrival_times_avg,inter_arrival_times_std,inter_arrival_times_var,inter_arrival_times_skew,inter_arrival_times_kurt,Latency_binary,Jerkiness_binary,Sync_binary,Network_order_binary,Latency,Jerkiness,Sync,Network_order,Config,Latency_prediction,Jerkiness_prediction,Sync_prediction,Network_order_prediction
37,-1.623681494698881,-2.013116697033486,-0.4465410159748039,2.4540570410788045,2.814930031686996,-1.2505420483052239,-2.0565109549957534,-1.280740209755221,-0.8778673154546368,-0.755725563966337,7.999093489630374,-2.1158521050200263,-1.5604008861870027,0.7218497396343039,1.1788608639950042,1,1,0,0.0,4,3,1,1.0,A,1,1,0,0.0
38,0.050461292931894164,0.0679361766110628,0.004755590157290849,-0.7854763247911803,0.47537818935198317,0.09195210628008102,-0.05123560987838363,-0.04825097368600915,0.11839359736260005,0.14666494505304326,-0.6039200462189207,0.7905195671293003,0.8300016563235418,0.2499295949300105,0.10479400146990955,0,1,0,1.0,1,3,3,3.0,B,0,0,0,1.0
41,1.0033870005943746,1.141913286515363,0.5274324692779215,0.3498192724009516,-0.6149338212072536,1.6362524245824057,1.3342062746442307,1.5467188695456326,-0.8686949100009524,-0.83041097505611,-0.06252549253704956,0.604373577049436,0.6224574873997676,-0.17283082066628308,-0.264662266708285,1,0,0,1.0,3,2,2,4.0,D,0,0,1,0.0
42,-0.1530977262014568,-0.2686932833312697,-0.18278327137982178,0.013733578209567733,0.07288468216091479,-0.21624876162438422,-0.39181800379429804,-0.347308314217033,0.3694746904033568,0.6164461608505728,-0.73496186848362,0.23004493628009495,0.22765666418575647,-0.1209537690197232,-0.17629859588038643,1,1,0,1.0,3,3,2,3.0,B,0,1,0,1.0
44,0.046947098016905345,0.06407988537262693,0.3614116843467653,-0.6759981820298133,0.21557719018564472,0.03881472393751537,-0.2273185501753451,-0.2074492996747739,0.16052527182294013,0.28054938134875984,-0.714633185645475,2.0092889511539807,2.3729795924966894,0.6262124030785171,0.5389166354075031,1,1,0,1.0,4,4,1,3.0,B,0,1,0,1.0
46,0.9516905991958903,1.2751322283348956,2.3655159513748245,-0.39714369798196736,-0.2804071467524549,1.7117486504517683,1.3249759566408545,1.5340822545474226,-0.9077676629330695,-0.8366790677263211,0.19297958589860764,2.867368732555952,3.650934970650495,0.3556383703870086,0.013161766556782915,1,1,0,1.0,3,3,1,4.0,D,0,0,0,0.0
49,-0.24330385625336962,-0.37150413047708347,-0.21121882856347032,0.679360585870901,-0.6130803986120195,-0.07812702361816137,0.13686570145119584,0.13265459163522386,0.19180177289421724,0.14859586654282664,-0.06247573667914252,-0.1861930795086416,-0.17596396948170417,-0.41190085264327364,-0.4070105583078767,1,1,0,0.0,3,3,2,1.0,B,0,0,1,0.0
50,1.0160010900823657,1.1190762590437102,0.7496392430883757,0.4104117469801791,-0.600593490921362,1.6893463333239958,1.3520445179976925,1.5712164394350856,-0.8997382510414481,-0.8393897041916482,-0.0035634628365193675,0.2779175045274813,0.27646701735001955,-0.18623117660312868,-0.24469836479941903,0,1,0,0.0,2,3,3,2.0,D,0,0,1,0.0
54,-1.664622067010561,-2.057587872140949,-0.43086606400959204,0.7425133508544406,0.1396373025245644,-1.5428685376137001,-2.138359716026162,-1.304011200130079,-0.022055842894233586,0.20732038141199483,6.858058872053809,135.57750679699157,2107.21817645245,16.021561831919506,107.91120816102823,1,1,0,0.0,4,3,1,1.0,A,1,1,0,0.0
55,-0.5270339859249444,-0.403097415577294,1.1098423204783547,-0.12304488002672348,-0.6400676581470336,-0.19277851553009184,0.06864966731906229,0.06575387775493419,0.2347364313970591,0.23548654224874993,0.8093347945958147,1.8531092161487062,2.1574102023838595,0.4403946731612026,0.1480061830407857,1,1,0,0.0,3,3,1,2.0,B,0,0,0,0.0
