episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
67,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,90.62,45.18,2.97,0.67,100.0,0.0,0.0,0.07
68,57.07,0.0,100.0,2.0,103.61,2.5,101.0,0.11,9.11,4.61,6.8,0.67,0.0,0.0,100.0,0.07
69,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,64.98,40.79,2.73,0.67,0.0,100.0,0.0,0.06
70,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,20.36,3.65,3.59,0.67,0.0,100.0,0.0,0.06
71,56.04,0.0,100.0,4.0,106.07,5.0,101.0,0.07,107.47,45.69,2.23,0.67,100.0,0.0,0.0,0.07
72,57.71,0.0,100.0,1.0,102.07,1.0,101.0,0.07,14.04,4.53,3.65,0.67,100.0,0.0,0.0,0.07
73,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,77.23,23.25,2.22,0.67,100.0,0.0,0.0,0.07
74,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,88.95,24.61,4.61,0.67,100.0,0.0,0.0,0.06
75,57.71,0.0,100.0,1.0,102.07,1.0,101.0,0.07,121.04,45.1,3.08,0.67,100.0,0.0,0.0,0.06
76,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,106.14,39.5,2.49,0.67,100.0,0.0,0.0,0.06
77,56.02,0.0,100.0,4.0,106.12,5.0,101.0,0.12,18.02,19.24,1.61,0.67,0.0,0.0,100.0,0.06
78,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,20.31,4.38,3.76,0.67,0.0,0.0,100.0,0.07
79,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,67.86,38.79,2.08,0.67,0.0,0.0,100.0,0.07
80,57.08,0.0,100.0,2.0,103.57,2.5,101.0,0.07,26.18,4.67,2.55,0.67,100.0,0.0,0.0,0.08
81,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,62.05,26.38,0.21,0.67,0.0,0.0,100.0,0.06
82,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,86.91,34.84,3.26,0.67,0.0,0.0,100.0,0.07
83,57.07,0.0,100.0,2.0,103.61,2.5,101.0,0.11,40.2,20.12,2.04,0.67,0.0,0.0,100.0,0.06
84,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,116.51,29.23,2.7,0.67,100.0,0.0,0.0,0.07
85,57.7,0.0,100.0,1.0,102.09,1.0,101.0,0.09,11.1,4.07,4.39,0.67,0.0,100.0,0.0,0.06
86,56.04,0.0,100.0,4.0,106.05,5.0,101.0,0.05,44.06,16.41,4.15,0.67,0.0,100.0,0.0,0.07
87,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,58.18,27.73,2.46,0.67,0.0,0.0,100.0,0.07
88,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,45.75,32.21,1.82,0.67,0.0,0.0,100.0,0.06
89,57.69,0.0,100.0,1.0,102.11,1.0,101.0,0.11,33.05,14.62,4.37,0.67,100.0,0.0,0.0,0.07
90,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,62.79,32.23,3.03,0.67,0.0,0.0,100.0,0.06
91,57.09,0.0,100.0,2.0,103.55,2.5,101.0,0.05,109.22,45.33,3.85,0.67,100.0,0.0,0.0,0.06
92,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,58.34,5.3,9.02,0.67,100.0,0.0,0.0,0.07
93,57.71,0.0,100.0,1.0,102.08,1.0,101.0,0.08,22.91,15.41,4.84,0.67,100.0,0.0,0.0,0.06
94,57.71,0.0,100.0,1.0,102.07,1.0,101.0,0.07,20.38,7.01,4.32,0.67,100.0,0.0,0.0,0.07
95,57.71,0.0,100.0,1.0,102.08,1.0,101.0,0.08,12.29,3.31,6.96,0.67,100.0,0.0,0.0,0.07
96,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,96.87,44.5,3.35,0.67,100.0,0.0,0.0,0.06
97,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,15.36,1.59,8.21,0.67,0.0,0.0,100.0,0.06
98,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,76.98,43.98,2.31,0.67,100.0,0.0,0.0,0.07
99,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,133.99,46.26,0.69,0.67,100.0,0.0,0.0,0.06
100,57.69,0.0,100.0,1.0,102.11,1.0,101.0,0.11,36.28,28.43,6.77,0.67,0.0,0.0,100.0,0.08
