episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
65,72.03,0.0,100.0,4.15,67.86,4.86,62.94,0.06,52.62,9.81,1.94,0.51,23.0,77.0,0.0,0.06
66,71.87,0.0,100.0,5.04,68.24,5.65,62.52,0.07,137.05,33.08,2.7,0.49,74.0,0.0,26.0,0.07
67,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,103.19,23.84,1.72,0.67,100.0,0.0,0.0,0.07
68,61.33,0.0,100.0,7.52,93.43,7.1,86.28,0.05,118.55,29.51,0.63,0.61,8.0,92.0,0.0,0.07
69,57.72,0.0,100.0,1.0,102.06,1.0,101.0,0.06,66.03,10.11,1.12,0.67,100.0,0.0,0.0,0.06
70,57.06,0.0,100.0,2.0,103.62,2.5,101.0,0.12,39.88,41.86,0.42,0.67,0.0,0.0,100.0,0.07
71,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,79.15,9.38,2.85,0.67,100.0,0.0,0.0,0.07
72,75.38,0.0,100.0,2.98,59.84,3.64,56.12,0.08,53.17,33.23,3.92,0.67,100.0,0.0,0.0,0.06
73,70.05,0.0,100.0,7.08,72.58,6.92,65.58,0.08,76.05,43.43,1.26,0.51,77.0,0.0,23.0,0.06
74,66.87,0.0,100.0,13.48,80.19,8.65,71.48,0.06,74.98,28.18,1.15,0.55,18.0,82.0,0.0,0.06
75,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,143.33,37.09,2.29,0.67,100.0,0.0,0.0,0.07
76,70.81,0.0,100.0,6.88,70.77,6.2,64.52,0.05,117.44,44.99,2.88,0.51,0.0,76.0,24.0,0.07
77,54.99,0.0,100.0,8.0,108.57,7.5,101.0,0.07,100.61,43.76,3.06,0.67,100.0,0.0,0.0,0.06
78,71.91,0.0,100.0,2.61,68.13,2.5,65.58,0.05,135.03,42.63,3.99,0.67,100.0,0.0,0.0,0.07
79,57.71,0.0,100.0,1.0,102.06,1.0,101.0,0.06,100.12,45.21,3.04,0.67,100.0,0.0,0.0,0.07
80,53.95,0.0,100.0,16.0,111.05,10.0,101.0,0.05,110.64,36.73,2.55,0.67,100.0,0.0,0.0,0.06
81,74.58,0.0,100.0,3.36,61.74,4.2,57.48,0.06,66.64,31.54,2.2,0.67,100.0,0.0,0.0,0.07
82,75.07,0.0,100.0,8.0,60.59,7.5,53.0,0.09,19.06,3.52,6.93,0.4,40.0,0.0,60.0,0.06
83,81.95,0.0,100.0,4.52,44.14,5.03,39.02,0.09,14.12,1.97,7.02,0.18,51.0,24.0,25.0,0.07
84,57.69,0.0,100.0,1.0,102.12,1.0,101.0,0.12,85.83,36.22,1.63,0.67,0.0,0.0,100.0,0.07
85,57.72,0.0,100.0,1.0,102.05,1.0,101.0,0.05,84.61,36.26,2.08,0.67,0.0,100.0,0.0,0.08
86,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,86.06,45.83,1.8,0.67,100.0,0.0,0.0,0.06
