episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_processing_latency,avg_rtt,avg_dl,avg_ul,avg_jitter,gini,telia_requests,telenor_requests,ice_requests,executionTime
81,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,57.31,38.89,4.84,0.67,100.0,0.0,0.0,0.08
82,55.0,0.0,100.0,8.0,108.56,7.5,101.0,0.06,22.01,16.09,1.13,0.67,100.0,0.0,0.0,0.06
83,77.26,0.0,100.0,6.3,55.34,6.35,48.94,0.05,104.83,43.12,3.18,0.62,93.0,7.0,0.0,0.07
84,91.84,0.39,61.0,1.0,32.95,1.0,31.9,0.05,84.15,23.61,4.49,0.67,61.0,0.0,0.0,0.07
85,29.31,0.29,71.0,1.69,43.72,2.04,41.63,0.05,30.83,11.96,1.4,0.46,49.0,22.0,0.0,0.05
86,61.69,0.0,100.0,14.8,92.55,9.5,83.0,0.05,130.31,32.34,3.67,0.67,100.0,0.0,0.0,0.07
87,57.09,0.0,100.0,2.0,103.56,2.5,101.0,0.06,29.57,39.86,1.44,0.67,100.0,0.0,0.0,0.06
88,75.36,0.0,100.0,10.84,59.88,7.85,51.98,0.05,96.21,28.54,3.76,0.67,100.0,0.0,0.0,0.06
89,70.17,0.0,100.0,13.0,72.3,8.75,63.5,0.05,73.5,25.27,2.62,0.5,25.0,75.0,0.0,0.06
90,46.76,0.15,85.0,6.68,66.35,6.28,60.02,0.05,112.16,32.38,4.56,0.67,85.0,0.0,0.0,0.06
91,69.02,0.0,100.0,6.4,75.05,6.0,69.0,0.05,86.24,29.08,1.66,0.53,80.0,20.0,0.0,0.07
92,0.15,0.43,57.0,1.0,59.05,1.0,58.0,0.05,51.87,27.19,5.81,0.67,0.0,57.0,0.0,0.05
93,93.43,0.45,55.0,1.0,29.56,1.0,28.51,0.05,116.69,39.62,2.07,0.67,55.0,0.0,0.0,0.07
94,53.95,0.0,100.0,16.0,111.06,10.0,101.0,0.06,63.63,38.33,1.5,0.67,100.0,0.0,0.0,0.06
95,87.43,0.5,50.0,16.0,61.06,10.0,51.0,0.06,60.97,36.71,0.3,0.67,50.0,0.0,0.0,0.07
96,61.58,0.0,100.0,4.0,92.81,4.9,87.86,0.05,116.73,36.35,1.95,0.67,100.0,0.0,0.0,0.06
97,7.7,0.4,60.0,1.42,49.99,1.51,48.43,0.05,138.04,34.04,1.92,0.67,60.0,0.0,0.0,0.05
98,42.42,0.21,79.0,2.97,48.14,3.63,44.46,0.05,122.19,42.41,3.43,0.67,79.0,0.0,0.0,0.06
99,87.25,0.34,66.0,1.0,47.17,1.0,46.12,0.05,127.71,39.4,4.45,0.67,66.0,0.0,0.0,0.07
100,-5.99,0.47,53.0,1.0,55.06,1.0,54.0,0.06,59.45,12.95,0.2,0.67,53.0,0.0,0.0,0.05
