episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
107,57.98,0.04,96,23.24,5003.59,7.01,4996.58,-0.85,2.64,2.59,-0.52,-0.88,0.73,0.45,0.7,0.26,0.49,0.31,0.15
108,52.72,0.07,93,16.58,4907.33,3.95,4903.38,-1.31,4.55,3.67,-0.83,-1.34,0.98,0.73,0.8,0.19,0.47,0.49,0.13
109,49.97,0.02,98,20.17,4994.27,5.02,4989.24,-0.27,0.67,1.05,-0.15,-0.51,0.25,0.34,0.82,0.28,0.45,0.66,0.13
110,56.88,0.04,96,16.96,5062.85,4.7,5058.15,-1.13,3.85,3.72,-0.72,-1.18,0.92,0.66,0.79,0.2,0.49,0.44,0.13
111,51.43,0.02,98,35.27,5088.35,8.6,5079.76,-0.92,3.0,2.76,-0.55,-0.92,0.69,0.54,0.67,0.24,0.48,0.34,0.16
112,34.76,0.03,97,30.7,5178.47,6.26,5172.21,-2.02,7.36,6.78,-1.35,-2.09,1.71,1.0,1.0,0.0,0.52,0.75,0.12
113,60.02,0.04,96,3.84,5308.14,2.6,5305.54,-0.01,-0.57,0.08,0.05,-0.11,-0.08,0.23,0.65,0.36,0.43,0.61,0.13
114,54.39,0.0,100,34.08,5219.38,8.52,5210.86,-0.75,2.15,2.41,-0.43,-0.69,0.5,0.44,0.56,0.34,0.48,0.36,0.14
115,66.19,0.02,98,5.47,5238.27,3.47,5234.8,-0.89,3.13,2.97,-0.54,-1.05,0.7,0.64,0.83,0.26,0.48,0.51,0.13
116,62.25,0.02,98,20.26,5464.63,4.43,5460.2,-0.58,1.75,0.96,-0.28,-0.56,0.45,0.46,0.53,0.39,0.46,0.33,0.17
117,61.8,0.02,98,7.64,5551.2,4.8,5546.41,-1.38,5.01,3.84,-0.89,-1.53,1.39,0.74,0.92,0.1,0.49,0.6,0.17
118,54.25,0.02,98,14.61,5411.11,5.7,5405.41,-0.74,1.74,1.22,-0.4,-0.48,0.41,0.33,0.46,0.38,0.49,0.63,0.17
119,56.18,0.04,96,26.73,5655.71,6.96,5648.75,-0.65,1.8,1.84,-0.35,-0.59,0.33,0.42,0.56,0.36,0.47,0.32,0.13
120,45.06,0.02,98,22.47,5651.37,5.43,5645.94,-0.47,0.67,0.65,-0.2,-0.15,0.01,0.15,0.28,0.51,0.48,0.7,0.14
121,61.92,0.01,99,18.32,5583.53,5.44,5578.08,-0.88,2.67,2.8,-0.53,-0.8,0.51,0.46,0.57,0.26,0.49,0.42,0.14
122,63.47,0.0,100,11.74,5682.74,4.62,5678.12,-1.09,3.9,3.43,-0.68,-1.23,0.85,0.75,0.85,0.23,0.48,0.54,0.13
123,64.75,0.0,100,15.18,5727.18,5.3,5721.88,-0.41,1.2,1.26,-0.22,-0.57,0.34,0.35,0.66,0.38,0.47,0.46,0.88
124,55.85,0.0,100,11.68,5901.04,6.0,5895.04,-1.87,6.87,4.74,-1.22,-1.92,1.86,0.93,0.95,0.01,0.52,0.71,0.15
125,49.58,0.02,98,28.94,5873.0,6.78,5866.22,-0.33,0.67,1.12,-0.15,-0.37,0.01,0.38,0.63,0.39,0.45,0.48,0.17
126,34.35,0.06,94,46.93,5868.29,8.44,5859.85,-0.3,0.45,0.51,-0.11,-0.29,0.07,0.28,0.55,0.49,0.48,0.43,0.15
127,56.75,0.0,100,15.35,5889.32,4.58,5884.74,-0.64,1.54,1.75,-0.35,-0.43,0.3,0.24,0.41,0.3,0.49,0.64,0.17
128,62.59,0.01,99,10.44,6088.01,4.82,6083.19,-0.38,0.5,0.68,-0.16,-0.2,-0.0,0.24,0.43,0.44,0.47,0.52,0.18
129,55.75,0.03,97,22.64,6048.42,5.64,6042.78,-0.9,3.05,2.5,-0.56,-1.01,0.86,0.54,0.8,0.21,0.48,0.42,0.14
130,47.24,0.04,96,12.5,6145.7,3.3,6142.4,0.13,-0.78,0.08,0.13,-0.15,-0.15,0.25,0.71,0.41,0.43,0.75,0.13
131,57.05,0.01,99,21.24,6233.28,4.53,6228.75,-1.38,4.76,3.74,-0.87,-1.38,1.13,0.71,0.81,0.12,0.5,0.52,0.17
132,59.54,0.02,98,23.32,6388.11,6.76,6381.35,-0.93,3.04,2.92,-0.57,-0.96,0.71,0.53,0.67,0.24,0.49,0.36,0.18
133,54.9,0.02,98,18.07,6220.77,4.97,6215.8,-0.98,2.99,2.07,-0.57,-0.79,0.72,0.42,0.53,0.26,0.49,0.55,0.15
134,60.44,0.02,98,16.24,6223.41,6.88,6216.53,-0.49,1.04,1.19,-0.22,-0.31,0.16,0.32,0.4,0.46,0.45,0.46,0.17
135,79.58,0.01,99,2.81,6345.78,1.9,6343.88,-0.99,3.08,4.29,-0.63,-0.99,0.72,0.56,0.72,0.22,0.49,0.36,0.13
136,64.66,0.02,98,4.85,6420.8,3.11,6417.69,-1.38,4.67,3.68,-0.87,-1.3,1.25,0.65,0.74,0.16,0.5,0.57,0.16
137,53.68,0.01,99,18.3,6402.86,5.93,6396.93,0.03,-0.59,0.08,0.1,-0.07,-0.19,0.28,0.6,0.42,0.44,0.63,0.15
138,58.21,0.01,99,10.97,6682.84,5.81,6677.03,-1.5,5.25,4.72,-0.96,-1.49,1.26,0.72,0.79,0.1,0.5,0.61,0.15
139,56.29,0.05,95,18.02,6517.2,5.89,6511.31,-0.36,0.7,1.74,-0.16,-0.34,-0.01,0.32,0.55,0.45,0.47,0.4,0.15
140,44.49,0.03,97,29.06,6726.24,6.01,6720.23,-1.19,4.2,3.83,-0.76,-1.32,0.97,0.73,0.91,0.11,0.48,0.55,0.14
141,53.33,0.0,100,17.03,6723.47,5.87,6717.6,-0.28,-0.07,-0.08,-0.07,0.04,-0.24,0.11,0.24,0.54,0.48,0.68,0.14
142,55.75,0.01,99,13.04,6883.83,5.97,6877.86,-0.25,-0.08,-0.05,-0.05,0.04,-0.09,0.05,0.25,0.44,0.47,0.69,0.15
143,52.05,0.02,98,19.48,6988.47,7.43,6981.04,-1.31,4.73,3.59,-0.83,-1.43,1.21,0.74,0.87,0.15,0.49,0.56,0.15
144,59.57,0.02,98,17.71,7015.66,5.44,7010.22,-0.98,3.04,2.06,-0.55,-0.81,0.68,0.47,0.54,0.36,0.48,0.47,1.0
145,76.36,0.0,100,2.56,7000.17,1.85,6998.32,-0.73,1.93,1.77,-0.41,-0.57,0.35,0.37,0.51,0.33,0.48,0.47,0.18
146,61.07,0.0,100,30.56,6987.52,5.66,6981.86,-0.8,2.45,2.47,-0.47,-0.78,0.67,0.5,0.63,0.31,0.47,0.28,0.14
147,70.84,0.01,99,15.06,7102.62,4.6,7098.02,-0.96,3.04,3.59,-0.62,-1.0,0.7,0.54,0.77,0.17,0.46,0.35,0.15
148,75.27,0.01,99,6.57,7108.51,3.5,7105.01,-0.66,1.84,1.95,-0.37,-0.6,0.38,0.4,0.57,0.33,0.47,0.33,0.16
149,53.01,0.02,98,21.18,7149.2,4.73,7144.47,-0.04,-0.51,-0.02,0.05,-0.07,-0.15,0.16,0.48,0.48,0.46,0.54,0.15
150,58.55,0.02,98,24.16,7105.8,5.92,7099.88,-0.63,1.85,2.07,-0.38,-0.71,0.55,0.41,0.76,0.26,0.47,0.35,0.15
151,46.06,0.01,99,26.95,7123.38,6.01,7117.37,-1.67,5.96,4.13,-1.06,-1.64,1.62,0.8,0.84,0.11,0.5,0.65,0.16
152,66.13,0.0,100,15.48,7300.29,5.93,7294.36,-0.6,1.95,1.66,-0.35,-0.75,0.4,0.44,0.73,0.37,0.49,0.44,0.16
153,54.4,0.01,99,28.12,7341.31,7.25,7334.06,-1.21,4.18,2.69,-0.74,-1.19,1.14,0.7,0.74,0.22,0.48,0.46,0.19
154,45.17,0.04,96,25.28,7561.69,6.38,7555.31,0.02,-0.61,0.01,0.1,-0.07,-0.18,0.24,0.54,0.49,0.44,0.61,0.17
155,51.5,0.0,100,23.56,7727.37,7.75,7719.62,0.03,-0.61,0.04,0.1,-0.06,-0.12,0.25,0.57,0.45,0.44,0.62,0.63
156,67.05,0.0,100,11.3,7543.95,3.91,7540.04,-0.73,1.95,2.08,-0.4,-0.54,0.29,0.34,0.43,0.37,0.48,0.48,0.27
157,60.62,0.01,99,10,7726.5,5.51,7720.99,0.01,-0.55,0.08,0.09,-0.07,-0.18,0.25,0.58,0.39,0.45,0.6,0.17
158,58.39,0.0,100,23.46,7640.9,6.46,7634.44,-0.78,2.28,1.65,-0.44,-0.66,0.52,0.38,0.54,0.3,0.48,0.46,0.15
159,51.45,0.0,100,31.12,7716.72,7.66,7709.06,-1.25,4.32,3.12,-0.78,-1.24,0.95,0.6,0.73,0.2,0.5,0.48,0.16
160,68.95,0.03,97,13.75,7834.05,5.0,7829.05,-0.89,2.88,2.78,-0.55,-0.93,0.66,0.47,0.7,0.26,0.48,0.33,0.16
161,64.99,0.0,100,13.7,7841.73,5.61,7836.12,-0.52,1.59,1.95,-0.28,-0.63,0.34,0.51,0.72,0.36,0.45,0.51,0.15
162,65.14,0.0,100,10.36,7819.81,5.15,7814.66,-0.06,-0.43,-0.03,0.05,-0.05,-0.13,0.14,0.46,0.49,0.44,0.56,0.15
163,60.06,0.0,100,20.64,7877.06,5.18,7871.88,-1.26,4.12,4.07,-0.81,-1.28,0.87,0.65,0.82,0.16,0.49,0.47,0.19
164,68.93,0.0,100,5.76,7789.0,3.72,7785.28,-0.47,0.9,0.46,-0.19,-0.24,0.21,0.26,0.35,0.52,0.45,0.5,1.33
165,62.67,0.0,100,7.94,8118.07,4.11,8113.96,0.03,-0.62,0.08,0.09,-0.09,-0.25,0.29,0.63,0.39,0.44,0.64,0.17
166,57.98,0.01,99,17.95,8006.78,4.92,8001.86,-0.8,2.81,2.28,-0.48,-0.97,0.78,0.61,0.82,0.25,0.47,0.53,0.22
167,45.47,0.02,98,32.27,8065.62,6.36,8059.27,-0.95,2.74,1.84,-0.56,-0.77,0.59,0.43,0.52,0.28,0.49,0.56,0.15
