episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
66,82.82,0.02,98,33.96,32.67,6.84,25.84,0.35,0.45,3.75,0.29,-1.08,0.61,2.93,2.32,2.88,8.12,0.06,0.2
67,71.56,0.04,96,36.45,35.79,8.02,27.77,0.54,0.15,0.76,0.44,-0.3,0.01,2.44,1.77,2.26,6.47,0.18,0.3
68,75.51,0.03,97,16.37,33.85,5.87,27.98,0.57,0.07,0.02,0.46,-0.07,-0.09,2.54,1.92,2.57,7.02,0.18,0.29
69,73.75,0.03,97,46.46,37.49,8.05,29.44,0.09,0.83,4.93,0.12,-1.86,1.55,3.26,2.63,3.5,9.38,0.22,0.2
70,80.9,0.03,97,29.36,32.89,7.3,25.59,0.3,0.49,2.64,0.27,-1.06,0.86,2.91,2.27,3.07,8.25,0.06,0.18
71,84.93,0.0,100,20.42,31.08,4.78,26.3,0.41,0.3,1.25,0.36,-0.44,0.34,2.82,2.31,3.0,8.13,0.06,0.15
72,84.7,0.01,99,23.7,31.02,5.12,25.9,0.19,0.69,3.82,0.19,-1.57,1.22,3.22,2.56,3.24,9.02,0.04,0.14
73,64.82,0.05,95,7.43,39.06,3.82,35.24,0.29,0.5,3.13,0.27,-0.99,0.81,3.04,2.48,3.15,8.67,0.34,0.18
74,77.47,0.04,96,13.21,31.31,5.43,25.88,0.59,0.06,-0.02,0.48,-0.02,-0.07,2.07,1.47,2.25,5.79,0.1,0.15
75,72.06,0.03,97,38.38,37.11,6.47,30.64,0.38,0.37,1.4,0.34,-0.76,0.65,2.89,2.17,2.87,7.93,0.24,0.18
76,77.2,0.02,98,11.81,33.79,5.95,27.84,0.53,0.1,-0.06,0.45,0.07,-0.11,2.58,2.16,2.69,7.44,0.17,0.2
77,77.79,0.03,97,41.7,34.81,7.56,27.26,0.3,0.52,3.09,0.27,-1.2,0.98,2.8,2.19,2.89,7.88,0.15,0.14
78,74.33,0.05,95,28.04,33.08,7.71,25.37,0.6,0.05,0.0,0.49,-0.03,-0.2,2.36,1.85,2.43,6.64,0.09,0.3
79,78.99,0.03,97,14.39,32.55,5.25,27.3,0.48,0.24,1.0,0.4,-0.48,0.25,2.73,2.04,2.73,7.5,0.16,0.32
80,71.79,0.04,96,29.42,34.77,6.5,28.27,0.62,0.03,0.03,0.5,-0.11,-0.21,2.48,1.94,2.31,6.73,0.2,0.3
81,81.55,0.01,99,16.79,31.3,4.21,27.09,0.51,0.2,1.57,0.42,-0.42,0.11,2.52,1.92,2.5,6.93,0.13,0.37
82,75.53,0.03,97,14.62,32.94,5.46,27.48,0.37,0.38,2.91,0.32,-0.84,0.63,2.77,2.27,2.8,7.84,0.16,1.7
83,81.38,0.01,99,13.88,34.14,6.58,27.56,0.35,0.42,2.7,0.31,-0.9,0.6,2.97,2.29,2.96,8.22,0.14,0.18
84,76.81,0.04,96,2,28.33,1.5,26.83,0.25,0.6,3.12,0.25,-1.31,1.0,2.92,2.2,2.96,8.07,0.15,0.23
85,80.35,0.01,99,26.31,34.44,5.7,28.75,0.55,0.08,-0.04,0.46,0.02,-0.13,2.63,1.98,2.54,7.14,0.18,0.2
86,79.96,0.01,99,4.61,31.33,2.97,28.36,0.43,0.32,1.8,0.35,-0.81,0.59,2.48,1.98,2.69,7.15,0.17,0.19
87,76.99,0.03,97,14.39,32.08,5.69,26.39,0.3,0.5,2.62,0.27,-1.05,0.8,2.91,2.34,3.09,8.34,0.12,0.3
88,74.92,0.02,98,7.92,33.85,4.13,29.71,0.35,0.37,1.94,0.32,-0.62,0.47,2.83,2.22,2.84,7.89,0.22,0.32
89,82.72,0.01,99,6.48,30.36,4.12,26.24,0.41,0.3,1.76,0.36,-0.58,0.37,2.7,2.11,2.8,7.61,0.07,0.3
90,72.34,0.01,99,2.64,34.95,1.82,33.13,0.53,0.09,-0.13,0.45,0.06,-0.13,2.58,2.02,2.5,7.1,0.3,0.18
91,76.69,0.02,98,15.31,34.82,5.61,29.2,0.57,0.07,-0.07,0.47,0.0,-0.13,2.59,2.01,2.51,7.11,0.21,0.18
92,75.67,0.05,95,23.52,30.83,5.39,25.43,0.16,0.72,4.58,0.17,-1.63,1.31,3.16,2.55,3.24,8.95,0.09,0.15
93,72.34,0.03,97,27.51,34.89,6.66,28.23,0.58,0.06,-0.06,0.48,-0.02,-0.14,2.53,1.94,2.41,6.88,0.19,0.21
94,84.47,0.01,99,10.3,30.36,4.18,26.18,0.43,0.31,1.52,0.37,-0.65,0.32,2.66,2.08,2.67,7.4,0.07,0.14
95,87.29,0.0,100,24.9,31.57,5.55,26.02,0.45,0.27,1.59,0.38,-0.57,0.38,2.6,2.0,2.59,7.19,0.02,0.14
96,70.41,0.03,97,6.12,35.35,3.93,31.42,0.2,0.66,4.12,0.2,-1.5,1.28,3.16,2.47,3.23,8.86,0.28,0.25
