episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
61,19.99,0.17,83,34.77,2597.33,8.12,2589.2,-0.93,2.68,1.73,-0.52,-0.7,0.67,0.46,0.49,0.37,0.48,0.57,0.15
62,58.37,0.05,95,3.85,2659.3,2.33,2656.97,-1.46,5.39,2.99,-0.92,-1.57,1.46,0.83,0.95,0.06,0.47,0.62,1.73
63,64.18,0.04,96,12.25,2714.33,5.94,2708.4,-0.85,2.67,1.78,-0.49,-0.77,0.71,0.49,0.56,0.27,0.46,0.36,0.13
64,56.58,0.03,97,8.77,2740.94,4.65,2736.29,-0.36,1.05,1.32,-0.2,-0.62,0.31,0.38,0.8,0.37,0.48,0.64,0.13
65,42.09,0.03,97,29.62,2776.1,6.72,2769.38,-1.4,5.09,3.83,-0.9,-1.54,1.04,0.78,0.94,0.11,0.49,0.61,0.13
66,32.51,0.06,94,28.13,2847.66,6.09,2841.57,0.13,-0.78,0.08,0.16,-0.11,-0.22,0.31,0.68,0.43,0.44,0.75,0.12
67,37.19,0.13,87,29.69,2898.4,6.79,2891.61,-1.04,3.34,3.3,-0.66,-1.05,0.84,0.51,0.76,0.21,0.5,0.4,0.12
68,59.18,0.05,95,16.36,2951.11,5.76,2945.35,-0.75,2.07,2.21,-0.43,-0.63,0.39,0.38,0.57,0.3,0.47,0.38,0.13
69,31.25,0.06,94,42.4,2975.4,7.43,2967.98,-0.98,3.34,3.92,-0.64,-1.15,0.82,0.63,0.89,0.19,0.48,0.5,0.13
70,32.71,0.1,90,26.13,3028.35,6.91,3021.44,-1.64,5.78,4.81,-1.06,-1.64,1.42,0.79,0.86,0.11,0.51,0.64,0.13
71,37.5,0.1,90,20.27,3052.22,4.78,3047.44,-0.45,1.42,1.9,-0.26,-0.65,0.15,0.5,0.79,0.26,0.44,0.62,0.12
72,46.88,0.04,96,23.42,3100.61,5.07,3095.54,-0.14,-0.29,0.04,-0.0,-0.01,-0.07,0.12,0.36,0.42,0.47,0.6,0.12
73,50.62,0.09,91,7.6,3194.72,3.88,3190.84,-0.02,-0.54,-0.03,0.07,-0.07,-0.19,0.2,0.55,0.53,0.46,0.58,0.14
74,48.84,0.05,95,14.32,3236.88,5.47,3231.41,0.05,-0.64,-0.03,0.12,-0.08,-0.21,0.24,0.56,0.5,0.45,0.66,0.12
75,24.04,0.06,94,39.48,3281.79,6.6,3275.19,0.12,-0.79,0.04,0.14,-0.14,-0.23,0.29,0.74,0.48,0.46,0.75,0.12
76,46.36,0.05,95,11.63,3279.56,5.81,3273.75,-0.27,-0.14,-0.1,-0.06,0.06,-0.09,0.07,0.24,0.55,0.47,0.75,0.16
77,29.74,0.08,92,38.89,3375.57,7.39,3368.17,-0.85,2.33,2.26,-0.48,-0.63,0.37,0.37,0.48,0.37,0.5,0.59,0.14
78,39.01,0.1,90,22.13,3423.2,7.33,3415.87,-0.97,3.05,1.34,-0.54,-0.78,0.76,0.44,0.49,0.31,0.47,0.55,0.13
79,47.04,0.06,94,14.68,3490.35,5.2,3485.15,-0.24,0.62,0.85,-0.12,-0.5,0.22,0.35,0.79,0.37,0.47,0.66,0.13
80,38.44,0.05,95,25.43,3463.25,5.8,3457.45,-1.75,6.37,5.02,-1.15,-1.86,1.76,0.87,1.0,0.06,0.51,0.69,0.14
81,55.64,0.08,92,14.59,3543.58,3.97,3539.61,-1.0,3.26,3.12,-0.61,-0.98,0.82,0.51,0.7,0.25,0.49,0.39,0.12
82,67.03,0.03,97,12.85,3580.57,4.82,3575.75,-0.71,1.97,1.65,-0.39,-0.59,0.33,0.42,0.53,0.35,0.47,0.38,0.84
