episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
68,50.33,0.01,99,15.37,3073.7,5.42,3068.28,-0.46,2.03,2.73,-0.11,-0.43,0.15,0.43,0.55,0.4,0.48,0.1,0.13
69,55.0,0.0,100,43.84,3147.68,7.66,3140.02,-0.04,1.12,0.73,0.28,0.0,0.22,0.31,0.46,0.5,0.45,0.18,0.13
70,51.13,0.01,99,32.81,3213.54,7.72,3205.82,-0.34,1.85,1.19,0.0,-0.36,0.41,0.46,0.56,0.38,0.47,0.19,0.13
71,51.67,0.01,99,13.72,3226.03,3.86,3222.16,-0.42,1.77,2.26,-0.1,-0.39,0.19,0.46,0.54,0.41,0.47,0.11,0.13
72,50.33,0.02,98,25.78,3266.69,5.53,3261.16,-0.3,1.71,1.62,0.04,-0.23,0.34,0.41,0.51,0.41,0.47,0.03,0.14
73,51.13,0.0,100,6.63,3268.08,3.46,3264.62,-0.67,2.83,1.52,-0.23,-0.55,0.69,0.45,0.51,0.36,0.49,0.26,0.13
74,52.0,0.0,100,17.96,3395.1,6.3,3388.8,-0.61,2.66,1.55,-0.21,-0.61,0.48,0.44,0.61,0.35,0.48,0.16,0.13
75,52.13,0.01,99,35.7,3426.64,6.08,3420.57,0.07,0.68,0.7,0.38,0.17,0.02,0.32,0.35,0.52,0.46,0.18,0.13
76,53.33,0.0,100,12.8,3482.18,6.36,3475.82,-0.27,2.25,1.76,0.12,-0.29,0.45,0.42,0.54,0.44,0.47,0.22,0.12
77,52.47,0.01,99,40.95,3595.92,7.74,3588.18,0.08,0.11,0.48,0.3,0.15,-0.09,0.26,0.41,0.52,0.46,0.26,0.13
78,49.07,0.02,98,22.12,3604.67,7.24,3597.43,-0.05,1.08,1.0,0.28,0.04,0.13,0.32,0.35,0.58,0.48,0.11,0.13
79,48.6,0.02,98,11.27,3660.24,4.78,3655.47,-0.12,0.74,0.66,0.16,-0.03,0.05,0.26,0.43,0.56,0.48,0.21,0.12
80,52.2,0.01,99,31.83,3627.65,6.64,3621.01,0.1,0.57,0.64,0.39,0.16,0.02,0.19,0.38,0.61,0.46,0.17,0.14
81,54.47,0.0,100,20.44,3739.23,4.75,3734.48,-0.34,1.79,1.55,0.03,-0.27,0.22,0.46,0.47,0.47,0.46,0.08,0.18
82,53.27,0.0,100,13.04,3782.65,4.65,3778.0,-0.34,1.85,1.29,0.02,-0.27,0.5,0.38,0.51,0.43,0.47,0.07,0.78
83,51.6,0.0,100,13.3,3864.31,6.33,3857.98,-0.62,2.71,2.91,-0.23,-0.63,0.46,0.51,0.58,0.37,0.48,0.18,0.14
84,49.4,0.01,99,2.51,3879.89,1.75,3878.14,-0.59,2.96,2.46,-0.15,-0.59,0.68,0.48,0.58,0.41,0.49,0.22,0.13
85,52.2,0.0,100,26.35,3875.14,5.71,3869.42,-0.57,2.15,2.12,-0.22,-0.52,0.31,0.45,0.58,0.37,0.48,0.16,0.13
86,52.8,0.0,100,4.14,3966.7,2.71,3963.98,-0.34,1.95,1.42,0.03,-0.31,0.39,0.46,0.51,0.43,0.47,0.08,0.13
87,50.73,0.02,98,15.84,4024.82,6.19,4018.63,-0.16,1.65,1.36,0.24,-0.06,0.29,0.4,0.44,0.53,0.46,0.14,0.12
88,52.67,0.0,100,7.24,4082.95,3.85,4079.1,-0.3,1.84,1.88,0.05,-0.27,0.3,0.38,0.51,0.44,0.47,0.06,0.12
89,53.53,0.0,100,6.56,4098.16,4.16,4094.0,-0.4,1.8,1.92,-0.06,-0.33,0.36,0.42,0.55,0.31,0.46,0.09,0.13
90,51.47,0.01,99,2.7,4158.07,1.85,4156.22,-0.5,2.62,1.92,-0.1,-0.54,0.56,0.48,0.65,0.33,0.47,0.26,0.13
91,52.87,0.0,100,16.98,4259.07,6.21,4252.86,-0.41,2.19,2.22,-0.03,-0.39,0.34,0.49,0.52,0.41,0.47,0.12,0.13
92,52.0,0.0,100,20.38,4273.22,5.04,4268.18,-0.34,1.85,1.41,0.02,-0.3,0.39,0.41,0.51,0.46,0.48,0.04,0.13
93,51.33,0.01,99,31.83,4331.96,7.27,4324.69,-0.39,2.27,1.62,0.03,-0.27,0.38,0.36,0.43,0.4,0.47,0.2,0.13
94,50.13,0.01,99,11.39,4364.43,4.49,4359.94,-0.16,1.56,0.99,0.22,-0.06,0.38,0.36,0.39,0.57,0.48,0.11,0.12
95,54.33,0.0,100,23.26,4395.55,5.39,4390.16,-0.23,1.55,1.84,0.12,-0.11,0.19,0.37,0.43,0.44,0.46,0.08,0.13
96,47.67,0.03,97,6.56,4374.24,4.18,4370.06,0.21,0.47,0.46,0.54,0.38,-0.09,0.18,0.26,0.62,0.48,0.31,0.13
97,52.27,0.0,100,29.76,4536.46,6.89,4529.56,-0.43,2.19,1.17,-0.04,-0.39,0.49,0.43,0.56,0.41,0.48,0.09,0.13
98,52.67,0.0,100,6.04,4623.92,3.88,4620.04,0.27,0.11,0.24,0.52,0.28,-0.11,0.19,0.35,0.61,0.47,0.26,0.13
99,51.73,0.0,100,6.32,4622.88,3.6,4619.28,-0.36,2.17,2.07,0.03,-0.32,0.28,0.42,0.49,0.46,0.48,0.12,0.13
100,51.13,0.01,99,34.91,4658.0,8.06,4649.94,-0.28,1.49,2.37,0.03,-0.24,0.07,0.35,0.54,0.42,0.47,0.03,0.13
