episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
144,67.39,0.02,98,19.14,32.28,5.74,26.53,0.46,0.34,1.69,0.4,-0.64,0.68,2.17,1.46,2.13,5.76,0.1,0.74
145,73.46,0.01,99,3.56,31.73,2.43,29.29,0.73,0.08,-0.12,0.67,0.56,-0.19,2.14,1.37,1.57,5.08,0.21,0.16
146,64.87,0.02,98,31.59,31.73,5.73,26.0,0.68,0.06,0.02,0.59,0.27,-0.05,2.17,1.64,1.83,5.64,0.08,0.13
147,65.57,0.01,99,22.36,33.32,5.52,27.8,0.78,0.09,-0.17,0.73,0.73,-0.33,2.28,1.42,1.5,5.21,0.15,0.13
148,76.78,0.0,100,7.14,30.99,3.73,27.26,0.7,0.25,0.35,0.68,0.34,0.24,2.28,1.45,1.71,5.44,0.12,0.13
149,70.58,0.03,97,15.03,30.19,4.21,25.98,0.51,0.31,1.24,0.46,-0.34,0.53,2.4,1.68,2.21,6.29,0.08,0.13
150,65.45,0.02,98,22.49,31.57,5.79,25.78,0.5,0.24,0.65,0.42,-0.45,0.61,1.99,1.34,2.09,5.42,0.06,0.13
151,62.48,0.03,97,24.53,33.78,6.09,27.69,0.51,0.31,0.9,0.45,-0.46,0.66,2.03,1.26,2.09,5.38,0.15,0.13
152,68.38,0.03,97,16.82,31.58,6.28,25.3,0.51,0.25,0.77,0.42,-0.52,0.76,1.87,1.25,2.12,5.24,0.02,0.13
153,64.1,0.01,99,28.28,34.27,7.3,26.97,0.7,0.07,-0.1,0.63,0.42,-0.15,2.21,1.5,1.67,5.37,0.12,0.13
154,61.06,0.03,97,26.11,32.59,5.85,26.74,0.76,0.06,-0.06,0.69,0.49,-0.09,1.9,1.08,1.47,4.45,0.14,0.13
155,63.67,0.01,99,22.9,36.34,7.31,29.03,0.82,0.07,-0.1,0.77,0.77,-0.22,1.98,1.16,1.33,4.47,0.2,0.13
156,71.41,0.01,99,9.74,31.71,3.59,28.12,0.62,0.29,0.9,0.6,0.08,0.38,2.05,1.22,1.72,4.99,0.16,0.13
157,77.59,0.0,100,8.22,31.64,4.7,26.94,0.68,0.06,-0.02,0.6,0.32,-0.14,2.52,1.95,2.06,6.53,0.1,0.12
158,71.12,0.01,99,29.46,33.04,7.04,26.0,0.31,0.51,1.21,0.29,-0.99,1.11,2.83,2.25,2.63,7.71,0.05,0.13
159,73.83,0.01,99,26.32,32.89,6.81,26.08,0.17,0.72,2.25,0.2,-1.47,1.68,3.01,2.32,2.97,8.3,0.06,0.14
160,70.87,0.01,99,12.67,31.56,5.18,26.38,0.64,0.03,0.06,0.52,-0.02,0.14,1.77,1.21,1.67,4.65,0.09,0.13
161,66.75,0.01,99,14.69,34.37,5.44,28.93,0.77,0.05,-0.02,0.68,0.47,-0.03,1.66,0.91,1.42,3.99,0.18,0.19
162,78.11,0.0,100,11.44,33.12,5.6,27.52,0.24,0.62,2.01,0.25,-1.26,1.42,2.88,2.19,2.76,7.83,0.13,0.14
163,66.17,0.02,98,20.51,31.16,5.24,25.92,0.7,0.06,-0.09,0.62,0.37,-0.11,1.92,1.22,1.45,4.59,0.07,0.13
164,64.58,0.04,96,6.4,36.17,4.08,32.08,0.61,0.14,0.43,0.52,-0.06,0.34,2.09,1.51,1.95,5.55,0.28,0.72
165,79.88,0.01,99,8.09,32.16,4.36,27.8,0.17,0.73,2.4,0.19,-1.5,1.67,3.1,2.5,3.03,8.63,0.15,0.13
166,68.61,0.01,99,26.45,37.37,5.95,31.41,0.41,0.46,1.28,0.41,-0.61,0.97,2.8,2.13,2.42,7.35,0.26,0.14
167,66.06,0.0,100,36.84,33.88,7.21,26.66,0.46,0.33,0.75,0.4,-0.6,0.89,2.3,1.67,2.22,6.19,0.09,0.13
168,76.3,0.0,100,5.84,31.29,3.65,27.64,0.71,0.26,0.75,0.7,0.37,0.17,2.44,1.65,1.71,5.8,0.14,0.13
169,65.69,0.01,99,29.98,33.89,7.69,26.2,0.66,0.07,-0.1,0.59,0.34,-0.11,2.26,1.52,1.7,5.48,0.06,0.15
170,63.95,0.01,99,22.01,34.23,5.08,29.15,0.62,0.06,-0.04,0.52,0.09,0.04,1.85,1.26,1.65,4.76,0.17,0.14
171,73.83,0.0,100,14.64,33.66,6.36,27.3,0.66,0.25,0.52,0.64,0.32,0.21,2.43,1.69,1.71,5.83,0.12,0.13
172,63.72,0.0,100,42.28,34.07,7.81,26.26,0.72,0.32,0.71,0.74,0.48,0.26,2.6,1.73,1.79,6.12,0.06,0.13
173,61.55,0.02,98,31.26,36.19,6.89,29.31,0.58,0.23,0.57,0.54,-0.04,0.33,2.33,1.57,1.86,5.76,0.21,0.13
174,76.88,0.01,99,2.4,29.36,1.7,27.66,0.59,0.06,-0.01,0.49,0.06,-0.07,2.37,1.87,2.05,6.29,0.15,0.13
175,73.0,0.0,100,14.68,34.06,6.07,28.0,0.51,0.4,0.41,0.49,-0.38,0.87,2.38,1.58,2.05,6.01,0.14,0.13
