episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
55,47.78,0.1,90,23.56,35.03,6.5,28.53,0.62,0.37,0.4,0.64,0.13,0.5,2.6,1.76,2.07,6.42,0.26,0.13
56,52.97,0.13,87,16.23,35.41,5.91,29.49,0.45,0.33,1.27,0.4,-0.57,0.72,2.32,1.72,2.3,6.34,0.28,0.14
57,61.48,0.06,94,18.78,31.8,5.55,26.26,0.5,0.34,1.3,0.45,-0.47,0.82,2.12,1.46,2.17,5.74,0.14,0.14
58,80.73,0.07,93,4.57,29.54,2.63,26.9,0.74,0.06,-0.09,0.67,0.48,-0.11,1.77,1.02,1.39,4.18,0.18,0.14
59,49.33,0.08,92,24.74,31.91,5.78,26.13,0.61,0.3,0.65,0.6,0.12,0.37,2.44,1.77,1.84,6.04,0.16,0.14
60,59.32,0.09,91,16.7,29.4,3.91,25.49,0.59,0.3,0.56,0.57,-0.0,0.38,2.36,1.58,1.91,5.86,0.15,0.14
61,29.29,0.1,90,36.5,36.53,8.31,28.22,0.66,0.05,-0.04,0.56,0.19,-0.03,1.92,1.3,1.52,4.74,0.22,0.13
62,88.1,0.02,98,6.08,29.64,3.3,26.35,0.63,0.04,0.05,0.52,0.01,0.14,1.8,1.25,1.76,4.82,0.1,0.76
63,71.9,0.06,94,11.79,32.17,5.74,26.43,0.48,0.43,1.09,0.47,-0.46,0.9,2.37,1.63,2.19,6.19,0.15,0.13
64,74.81,0.06,94,9.84,34.64,5.11,29.53,0.7,0.04,0.02,0.6,0.21,0.06,1.66,0.93,1.49,4.07,0.24,0.13
65,39.63,0.08,92,31.38,33.14,6.79,26.35,0.65,0.04,-0.02,0.54,0.09,0.01,1.82,1.08,1.7,4.59,0.17,0.12
66,49.87,0.02,98,30.65,32.83,6.3,26.53,0.51,0.26,0.64,0.45,-0.38,0.58,2.04,1.34,2.0,5.38,0.1,0.13
67,35.94,0.09,91,32.89,32.31,7.41,24.9,0.75,0.06,-0.12,0.67,0.51,-0.06,1.5,0.88,1.08,3.45,0.12,0.14
68,62.83,0.07,93,16.7,33.24,5.82,27.42,0.76,0.17,0.12,0.74,0.63,-0.08,2.36,1.57,1.64,5.57,0.18,0.13
69,40.89,0.06,94,32.57,31.28,6.4,24.87,0.38,0.48,1.26,0.34,-0.9,1.32,2.33,1.67,2.34,6.34,0.07,0.12
70,48.87,0.07,93,26.15,32.59,7.0,25.59,0.63,0.05,0.02,0.53,0.11,0.02,1.98,1.37,1.74,5.09,0.13,0.12
71,49.24,0.08,92,24.8,30.51,5.18,25.33,0.65,0.05,-0.04,0.55,0.16,-0.05,1.75,1.0,1.44,4.18,0.12,0.16
72,47.92,0.07,93,26.8,30.2,5.49,24.71,0.29,0.55,1.5,0.27,-1.1,1.26,2.9,2.41,2.74,8.05,0.08,0.13
73,73.52,0.09,91,6.87,30.24,3.56,26.68,0.67,0.33,0.38,0.68,0.28,0.43,2.29,1.66,1.78,5.72,0.2,0.13
74,69.02,0.04,96,16.08,32.18,5.87,26.31,0.45,0.34,0.53,0.4,-0.61,0.97,2.09,1.49,2.12,5.71,0.12,0.13
75,27.41,0.15,85,32.56,35.92,5.66,30.26,0.66,0.05,-0.02,0.57,0.22,-0.03,1.86,0.99,1.66,4.51,0.33,0.16
76,77.19,0.04,96,10.72,30.85,5.45,25.4,0.71,0.07,-0.07,0.63,0.41,-0.18,2.04,1.33,1.64,5.01,0.07,0.16
77,21.67,0.11,89,40.88,35.06,7.71,27.35,0.73,0.06,-0.06,0.65,0.44,-0.06,1.83,1.21,1.39,4.44,0.21,0.16
78,48.29,0.1,90,23.2,32.08,7.39,24.69,0.23,0.77,2.17,0.28,-1.28,1.62,3.06,2.32,2.93,8.31,0.12,0.16
79,73.92,0.05,95,11.66,31.1,4.68,26.42,0.66,0.3,0.65,0.65,0.23,0.35,2.27,1.53,1.77,5.57,0.14,0.18
80,47.11,0.08,92,26.26,31.48,5.96,25.52,0.53,0.38,1.52,0.51,-0.3,0.54,2.32,1.52,1.94,5.77,0.14,0.18
81,55.92,0.03,97,25.73,33.19,5.31,27.88,0.25,0.63,1.84,0.25,-1.31,1.55,2.67,2.06,2.74,7.47,0.18,0.19
82,70.67,0.02,98,17.29,35.43,5.96,29.47,0.35,0.65,2.69,0.39,-0.87,1.13,3.01,2.24,2.63,7.88,0.22,1.97
83,68.24,0.06,94,14.24,35.46,6.74,28.72,0.56,0.16,0.31,0.48,-0.15,0.25,2.3,1.67,2.08,6.05,0.23,0.21
84,89.59,0.04,96,2.58,32.6,1.79,30.81,0.66,0.19,0.49,0.6,0.12,0.29,2.22,1.47,1.92,5.6,0.27,0.27
85,50.05,0.05,95,27.49,34.71,5.41,29.31,0.89,0.09,-0.2,0.88,1.12,-0.38,2.16,1.33,1.27,4.76,0.23,0.3
86,87.08,0.04,96,4.23,29.49,2.76,26.73,0.95,0.1,-0.26,0.95,1.32,-0.48,2.15,1.17,1.03,4.34,0.15,0.27
87,70.06,0.06,94,13.02,30.88,5.52,25.36,0.55,0.31,0.98,0.52,-0.18,0.46,2.42,1.66,2.14,6.21,0.1,0.2
88,85.76,0.03,97,6.35,32.59,3.48,29.11,0.45,0.57,1.38,0.49,-0.5,0.98,2.79,2.11,2.53,7.43,0.21,0.21
89,88.25,0.02,98,5.98,31.13,3.82,27.31,0.3,0.64,1.95,0.32,-1.06,1.32,2.97,2.33,2.76,8.05,0.14,0.27
90,85.56,0.06,94,2.64,34.2,1.82,32.38,0.4,0.39,1.3,0.37,-0.61,0.76,2.71,2.12,2.48,7.31,0.32,0.26
91,67.17,0.04,96,17.29,33.23,6.38,26.85,0.66,0.29,0.19,0.64,0.19,0.44,2.13,1.34,1.69,5.17,0.15,0.2
92,72.57,0.04,96,13.75,31.13,4.09,27.04,0.61,0.28,0.71,0.57,-0.04,0.53,2.12,1.36,1.88,5.35,0.16,0.25
93,33.41,0.1,90,33.61,35.27,7.21,28.07,0.73,0.04,0.01,0.63,0.29,0.05,1.62,0.88,1.49,3.99,0.25,0.38
94,79.21,0.02,98,11.8,30.73,4.28,26.45,0.6,0.32,1.02,0.58,-0.03,0.53,2.24,1.42,1.89,5.55,0.11,0.35
95,59.06,0.05,95,21.52,31.82,4.85,26.97,0.37,0.58,1.27,0.39,-0.81,1.3,2.58,1.92,2.38,6.87,0.15,0.23
96,80.33,0.06,94,6.14,35.55,3.94,31.62,0.59,0.14,0.3,0.48,-0.25,0.49,1.61,0.9,1.8,4.31,0.29,0.18
97,38.89,0.06,94,33.91,32.78,7.54,25.23,0.83,0.07,-0.14,0.78,0.79,-0.19,1.74,0.93,1.08,3.76,0.1,0.18
98,81.89,0.05,95,6.38,35.91,4.07,31.83,0.75,0.08,-0.12,0.69,0.6,-0.16,2.12,1.36,1.36,4.83,0.29,0.21
99,84.4,0.03,97,7.24,31.05,3.96,27.09,0.64,0.04,-0.01,0.53,0.03,0.11,1.68,1.03,1.61,4.32,0.15,0.2
100,44.02,0.05,95,31.49,33.17,7.83,25.35,0.41,0.49,1.4,0.41,-0.62,0.99,2.83,2.1,2.5,7.42,0.09,0.18
