episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
76,45.83,0.02,98,10.9,3432.64,5.68,3426.96,-0.95,3.14,3.06,-0.61,-1.06,1.03,0.57,0.87,0.11,0.47,0.42,0.25
77,23.68,0.06,94,45.53,3458.94,8.06,3450.87,-1.45,4.99,4.01,-0.92,-1.42,1.09,0.71,0.78,0.18,0.48,0.55,0.31
78,30.91,0.08,92,27.57,3567.43,7.58,3559.85,-0.38,0.92,0.66,-0.18,-0.47,0.17,0.37,0.66,0.39,0.47,0.44,0.54
79,35.66,0.05,95,14.61,3601.18,5.31,3595.87,-1.4,5.01,4.83,-0.91,-1.53,1.06,0.82,0.9,0.16,0.49,0.61,0.53
80,31.93,0.04,96,29.6,3772.22,6.59,3765.62,-0.01,-0.56,0.06,0.07,-0.08,-0.12,0.18,0.55,0.42,0.46,0.57,0.2
81,45.82,0.0,100,17.4,3678.4,4.34,3674.06,-0.7,1.87,2.0,-0.42,-0.62,0.38,0.32,0.59,0.25,0.48,0.39,0.17
82,45.98,0.0,100,12.74,3790.73,4.99,3785.74,-0.08,-0.48,0.06,0.03,-0.05,-0.08,0.23,0.57,0.38,0.44,0.52,0.89
83,37.77,0.02,98,14.01,3795.25,6.64,3788.61,-0.47,0.7,0.84,-0.22,-0.24,0.28,0.14,0.44,0.43,0.5,0.69,0.15
84,48.02,0.01,99,2.23,3868.16,1.62,3866.55,-0.06,-0.47,-0.0,0.04,-0.06,-0.12,0.17,0.5,0.5,0.46,0.51,0.15
85,31.68,0.03,97,33.25,3857.72,6.75,3850.97,-0.62,2.02,2.3,-0.37,-0.81,0.49,0.5,0.84,0.25,0.46,0.58,0.14
86,46.18,0.01,99,4.08,4047.6,2.69,4044.91,-1.28,4.3,3.49,-0.8,-1.21,0.95,0.62,0.7,0.18,0.51,0.54,0.14
87,49.64,0.0,100,15.12,3957.06,5.78,3951.28,-0.58,1.72,1.24,-0.33,-0.66,0.49,0.43,0.75,0.25,0.46,0.35,0.14
88,51.52,0.01,99,5.7,4105.31,3.21,4102.1,-0.82,2.65,1.28,-0.48,-0.84,0.81,0.48,0.71,0.3,0.48,0.31,0.13
89,41.92,0.03,97,7.26,4163.47,4.57,4158.91,-0.61,2.05,1.93,-0.36,-0.8,0.6,0.55,0.84,0.26,0.45,0.58,0.16
90,46.75,0.0,100,2.57,4283.77,1.78,4281.98,-0.86,2.43,1.45,-0.48,-0.63,0.5,0.38,0.48,0.39,0.49,0.58,0.14
91,47.36,0.01,99,12.87,4240.69,5.2,4235.49,-0.53,1.33,0.92,-0.26,-0.44,0.25,0.36,0.48,0.38,0.45,0.39,0.13
92,35.54,0.01,99,23.49,4227.54,5.6,4221.94,-0.23,-0.22,-0.13,-0.03,0.05,-0.04,0.09,0.26,0.6,0.47,0.68,0.16
93,32.53,0.03,97,31.76,4200.95,7.34,4193.61,-0.14,-0.31,0.05,-0.01,-0.03,-0.07,0.1,0.43,0.36,0.47,0.57,0.13
94,46.14,0.0,100,11,4374.53,4.17,4370.36,-1.03,3.16,2.32,-0.6,-0.83,0.69,0.46,0.52,0.26,0.47,0.54,0.13
95,38.48,0.0,100,26.48,4439.67,5.99,4433.68,-0.96,2.83,2.34,-0.56,-0.77,0.67,0.41,0.52,0.3,0.5,0.56,0.13
96,49.81,0.0,100,6.53,4699.68,4.16,4695.52,-0.81,2.32,2.55,-0.46,-0.67,0.41,0.44,0.46,0.36,0.48,0.45,0.13
97,36.1,0.02,98,30.98,4551.86,7.35,4544.51,-1.24,4.07,5.1,-0.82,-1.29,0.79,0.64,0.82,0.15,0.49,0.46,0.13
98,49.09,0.0,100,6.53,4513.96,4.16,4509.8,-0.25,0.3,0.69,-0.1,-0.27,0.07,0.26,0.57,0.42,0.45,0.48,0.13
99,45.2,0.0,100,7.68,4625.8,4.29,4621.52,-0.36,1.14,1.03,-0.19,-0.57,0.33,0.48,0.76,0.32,0.44,0.64,0.13
