episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency,avg_jerkiness,avg_sync,avg_qoe,gini,execution_time
60,69.88,0.02,98,19.98,30.23,4.29,25.94,0.6,0.05,0.01,0.49,-0.02,-0.21,2.43,1.83,2.39,6.64,0.07,0.12
61,57.84,0.07,93,32.4,38.02,8.11,29.91,0.16,0.72,4.83,0.17,-1.64,1.33,3.16,2.5,3.38,9.04,0.26,0.13
62,74.4,0.03,97,5.46,30.54,3.04,27.51,0.54,0.17,1.06,0.43,-0.49,0.33,2.29,1.8,2.45,6.55,0.17,0.85
63,68.37,0.04,96,13,33.9,6.25,27.65,0.51,0.21,0.96,0.42,-0.43,0.16,2.52,1.84,2.53,6.9,0.17,0.14
64,68.46,0.05,95,8.6,31.38,4.58,26.8,0.45,0.27,1.41,0.37,-0.57,0.4,2.56,1.94,2.73,7.22,0.16,0.16
65,61.74,0.06,94,30,33.7,6.85,26.85,0.18,0.66,4.3,0.19,-1.37,0.94,3.24,2.45,3.35,9.04,0.17,0.14
66,60.28,0.05,95,27.75,32.94,5.97,26.97,0.5,0.22,1.76,0.4,-0.6,0.26,2.5,1.94,2.5,6.93,0.17,0.13
67,65.24,0.02,98,35.11,34.29,7.6,26.69,0.51,0.19,0.95,0.42,-0.43,0.2,2.55,1.93,2.48,6.96,0.12,0.15
68,71.22,0.04,96,17.48,34.27,5.71,28.56,0.13,0.74,6.06,0.14,-1.73,1.29,3.12,2.6,3.31,9.04,0.17,0.14
69,54.91,0.06,94,42.85,34.53,7.68,26.85,0.46,0.21,0.33,0.4,-0.19,0.18,2.61,2.08,2.64,7.33,0.17,0.16
70,59.01,0.05,95,28.63,33.19,7.04,26.15,0.62,0.04,0.03,0.5,-0.08,-0.1,2.08,1.7,2.25,6.04,0.12,0.13
71,60.45,0.09,91,19.74,28.35,4.55,23.8,0.46,0.26,2.08,0.38,-0.61,0.29,2.84,2.2,2.8,7.84,0.02,0.15
72,60.01,0.06,94,28.23,32.21,5.53,26.68,0.59,0.06,0.01,0.48,-0.03,-0.16,2.38,1.84,2.35,6.57,0.17,0.14
73,72.56,0.01,99,8.08,36.41,4.09,32.32,0.46,0.26,2.32,0.38,-0.64,0.24,2.58,1.95,2.59,7.11,0.28,0.13
74,67.42,0.04,96,17.29,33.5,6.1,27.4,0.59,0.05,-0.01,0.48,-0.04,-0.2,2.35,1.88,2.55,6.79,0.17,0.12
75,62.17,0.04,96,38.07,34.62,6.41,28.21,0.37,0.39,1.69,0.32,-0.83,1.09,2.84,2.48,2.91,8.23,0.18,0.15
76,74.99,0.0,100,12.06,36.76,6.01,30.74,0.57,0.06,0.01,0.47,-0.03,-0.09,2.53,1.97,2.55,7.05,0.22,0.16
77,56.19,0.07,93,39.69,34.18,7.43,26.75,0.33,0.44,3.41,0.29,-0.98,0.6,3.04,2.41,3.02,8.47,0.18,0.13
78,65.7,0.05,95,25.77,32.37,7.53,24.84,0.3,0.5,2.28,0.28,-1.04,0.92,2.93,2.26,3.08,8.27,0.03,0.13
79,73.71,0.03,97,13.61,30.52,5.16,25.36,0.55,0.08,-0.03,0.46,0.01,-0.13,2.61,1.91,2.63,7.14,0.03,0.16
80,62.4,0.06,94,23.67,31.29,5.42,25.87,0.56,0.07,-0.03,0.46,-0.02,-0.08,2.53,1.85,2.62,7.0,0.13,0.15
81,67.93,0.04,96,19.56,29.81,4.79,25.02,0.48,0.25,1.63,0.4,-0.61,0.36,2.27,1.62,2.62,6.5,0.02,0.13
82,68.02,0.05,95,15.79,31.58,5.44,26.15,0.38,0.36,1.78,0.33,-0.72,0.6,2.88,2.33,2.88,8.1,0.13,0.8
83,74.65,0.02,98,14.01,33.98,6.64,27.35,0.3,0.45,2.77,0.28,-0.83,0.52,2.96,2.28,2.98,8.21,0.13,0.13
84,74.05,0.03,97,2.65,34.65,1.82,32.82,0.23,0.58,3.66,0.23,-1.21,1.11,3.12,2.47,3.12,8.72,0.31,0.13
85,62.53,0.04,96,28.42,32.97,5.83,27.15,0.49,0.18,0.83,0.42,-0.25,0.03,2.43,1.95,2.46,6.83,0.15,0.13
86,75.39,0.04,96,4.38,30.04,2.83,27.21,0.31,0.49,2.32,0.28,-1.01,0.86,2.97,2.27,3.08,8.32,0.17,0.16
87,67.14,0.04,96,13.46,32.85,5.79,27.06,0.6,0.05,0.02,0.48,-0.06,-0.06,2.21,1.7,2.4,6.3,0.16,0.14
88,77.5,0.0,100,6.76,31.23,3.65,27.58,0.61,0.04,-0.0,0.49,-0.08,-0.13,2.32,1.8,2.37,6.49,0.14,0.14
89,75.05,0.03,97,6.45,29.69,4.1,25.59,0.47,0.26,1.69,0.39,-0.57,0.19,2.5,1.9,2.66,7.05,0.06,0.13
90,72.86,0.03,97,2.63,33.28,1.81,31.46,0.43,0.34,1.76,0.36,-0.84,0.46,2.79,2.11,2.75,7.66,0.22,0.13
91,72.58,0.02,98,14.24,34.61,5.96,28.65,0.43,0.23,1.78,0.37,-0.31,0.07,2.74,2.18,2.76,7.68,0.18,0.15
92,68.89,0.04,96,16.9,30.62,4.31,26.31,0.34,0.45,3.5,0.3,-1.05,0.7,2.71,2.12,2.72,7.54,0.12,0.13
93,57.63,0.03,97,35.35,38.44,7.66,30.78,0.58,0.09,0.19,0.48,-0.14,-0.1,2.3,1.53,2.13,5.96,0.24,0.13
94,76.54,0.01,99,12.42,30.47,4.57,25.9,0.47,0.25,1.57,0.39,-0.54,0.37,2.58,2.0,2.64,7.21,0.04,0.13
95,67.72,0.02,98,26.49,31.69,5.73,25.96,0.48,0.26,1.06,0.4,-0.64,0.39,2.45,1.82,2.61,6.88,0.07,0.13
96,72.49,0.03,97,6.12,36.59,3.93,32.66,0.26,0.56,2.78,0.25,-1.16,0.94,3.02,2.42,3.04,8.48,0.3,0.13
97,61.55,0.05,95,31.07,32.14,7.17,24.97,0.61,0.04,0.05,0.49,-0.1,-0.07,2.2,1.68,2.31,6.19,0.05,0.13
98,75.02,0.0,100,6.39,39.06,4.08,34.98,0.51,0.22,1.75,0.41,-0.57,0.22,2.59,1.95,2.35,6.89,0.33,0.14
99,71.89,0.02,98,9.18,35.02,4.73,30.29,0.57,0.07,0.02,0.47,-0.01,-0.12,2.69,1.87,2.72,7.29,0.24,0.13
100,61.57,0.03,97,32.25,36.17,8.05,28.12,0.47,0.23,1.07,0.4,-0.41,0.17,2.46,1.84,2.45,6.76,0.19,0.13
101,67.49,0.03,97,28.7,32.65,6.94,25.71,0.47,0.25,1.83,0.39,-0.57,0.22,2.68,2.12,2.57,7.37,0.08,0.13
102,73.41,0.03,97,6.47,29.31,3.48,25.84,0.62,0.03,0.08,0.49,-0.12,-0.1,2.28,1.87,2.35,6.5,0.08,0.13
103,67.88,0.03,97,26.31,32.77,6.2,26.58,0.41,0.29,1.96,0.35,-0.48,0.29,2.87,2.2,2.91,7.97,0.13,0.81
104,61.76,0.04,96,31.48,37.38,6.6,30.77,0.23,0.57,4.47,0.22,-1.16,0.81,3.16,2.48,3.16,8.79,0.26,0.13
105,68.04,0.04,96,17.65,32.02,6.38,25.65,0.46,0.26,1.23,0.38,-0.56,0.45,2.52,1.83,2.73,7.08,0.09,0.13
106,72.86,0.0,100,10.51,36.12,5.58,30.54,0.55,0.14,0.58,0.45,-0.29,0.19,2.24,1.65,2.38,6.27,0.22,0.14
107,72.12,0.01,99,20.93,33.37,6.4,26.97,0.45,0.3,2.18,0.37,-0.75,0.4,2.61,2.06,2.69,7.35,0.12,0.15
108,76.49,0.0,100,19.02,30.5,4.16,26.34,0.45,0.25,1.53,0.38,-0.42,0.27,2.66,2.08,2.69,7.43,0.06,0.13
109,75.14,0.01,99,19.99,32.27,4.97,27.29,0.32,0.48,2.43,0.29,-1.0,0.72,3.0,2.36,2.96,8.32,0.13,0.15
110,76.99,0.0,100,21.56,32.12,4.86,27.26,0.25,0.53,3.65,0.24,-1.05,0.87,3.09,2.42,3.08,8.59,0.12,0.16
111,64.32,0.02,98,34.61,34.43,8.55,25.88,0.63,0.03,0.0,0.5,-0.11,-0.15,2.39,1.8,2.26,6.45,0.07,0.13
112,67.55,0.02,98,38.02,33.76,6.98,26.78,0.24,0.57,3.16,0.23,-1.15,0.9,3.14,2.48,3.21,8.84,0.11,0.14
113,79.75,0.02,98,4.03,32.95,2.71,30.24,0.01,0.92,6.43,0.06,-2.09,1.74,3.44,2.85,3.59,9.88,0.24,0.12
114,66.86,0.02,98,32.82,35.08,8.47,26.61,0.31,0.5,3.17,0.27,-1.17,0.93,2.82,2.26,2.96,8.03,0.11,0.15
115,78.89,0.02,98,5.18,31.17,3.33,27.84,0.33,0.47,3.11,0.28,-1.06,0.87,3.02,2.37,2.94,8.33,0.17,0.13
116,71.38,0.01,99,20.03,37.01,4.38,32.63,0.38,0.33,1.24,0.35,-0.5,0.43,2.89,2.19,2.86,7.94,0.28,0.13
117,76.27,0.02,98,6.86,32.24,4.35,27.9,0.48,0.22,1.34,0.4,-0.41,0.27,2.74,2.09,2.76,7.6,0.17,0.13
