episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
62,17.81,0.05,95,6.42,2710.89,3.44,2707.45,-0.27,1.89,1.38,0.12,-0.18,0.41,2.7,2.08,2.38,1.43,0.12,0.71
63,10.46,0.06,94,14.72,2814.14,6.97,2807.17,-0.57,2.44,2.08,-0.17,-0.45,0.45,2.72,2.11,2.33,1.43,0.24,0.19
64,22.91,0.01,99,7.09,2803.66,4.01,2799.66,-0.53,2.13,1.31,-0.16,-0.44,0.51,2.79,2.05,2.26,1.42,0.19,0.15
65,3.1,0.04,96,30.53,2842.28,6.92,2835.35,0.11,0.59,0.53,0.39,0.16,-0.01,2.37,1.74,2.81,1.38,0.2,0.55
66,-6.14,0.04,96,39.25,2909.51,7.34,2902.17,-0.27,1.52,1.23,0.06,-0.2,0.21,2.7,2.23,2.26,1.44,0.1,0.33
67,-2.38,0.04,96,36.15,2951.02,7.81,2943.21,0.04,0.83,1.29,0.36,0.13,-0.07,2.47,1.83,2.74,1.41,0.17,0.15
68,14.35,0.05,95,14.2,3072.23,4.93,3067.31,-0.23,0.82,0.93,0.02,-0.17,0.19,2.54,1.96,2.42,1.38,0.24,0.16
69,-0.91,0.04,96,31.99,3068.74,6.61,3062.12,0.07,1.06,1.34,0.41,0.17,0.06,2.53,1.92,2.77,1.44,0.21,0.12
70,8.55,0.05,95,21.22,3138.06,6.39,3131.66,-0.16,0.86,1.22,0.11,-0.1,0.05,2.43,1.97,2.57,1.39,0.19,0.13
71,12.38,0.04,96,14.02,3143.34,3.9,3139.44,-0.3,1.81,1.76,0.07,-0.22,0.38,2.52,2.07,2.67,1.45,0.09,0.13
72,-0.32,0.04,96,30.29,3296.78,6.67,3290.1,0.2,0.91,1.19,0.55,0.24,0.02,2.57,2.01,2.71,1.46,0.24,0.12
73,23.21,0.03,97,5.27,3296.15,2.88,3293.28,0.15,0.74,0.83,0.5,0.29,-0.03,2.41,1.94,2.61,1.39,0.22,0.12
74,8.39,0.05,95,16.93,3358.28,6.26,3352.02,-0.56,2.4,1.92,-0.17,-0.47,0.49,2.83,2.23,2.26,1.46,0.18,0.17
75,-11.54,0.05,95,45.62,3441.13,7.44,3433.68,-0.61,2.15,1.55,-0.24,-0.52,0.61,2.72,2.21,2.22,1.43,0.24,0.12
76,19.42,0.02,98,12.42,3440.11,6.21,3433.9,0.17,0.47,0.57,0.49,0.29,-0.12,2.38,1.67,2.86,1.38,0.22,0.12
77,-4.43,0.07,93,37.35,3324.72,7.26,3317.46,0.14,0.51,0.86,0.44,0.23,-0.1,2.26,1.71,2.87,1.37,0.2,0.12
78,4.44,0.06,94,23.06,3405.97,7.31,3398.66,-0.35,1.78,1.19,-0.0,-0.31,0.41,2.61,2.06,2.47,1.43,0.06,0.12
79,17.78,0.02,98,12.08,3565.47,4.65,3560.82,-0.28,2.03,2.07,0.11,-0.21,0.23,2.64,1.87,2.59,1.42,0.13,0.14
80,3.41,0.04,96,28.16,3536.4,6.0,3530.4,-0.18,1.24,1.2,0.14,-0.09,0.18,2.56,1.92,2.59,1.42,0.07,0.12
81,13.9,0.03,97,19.32,3701.74,5.02,3696.72,-0.13,0.88,1.14,0.13,-0.15,0.11,2.44,1.88,2.48,1.36,0.17,0.12
82,16.27,0.01,99,14.14,3723.56,4.69,3718.87,-0.11,1.54,1.74,0.25,-0.08,0.21,2.56,1.89,2.77,1.44,0.17,0.77
83,17.14,0.01,99,13.42,3705.03,6.38,3698.65,-0.01,1.42,1.86,0.37,0.09,0.11,2.5,2.02,2.67,1.44,0.18,0.14
84,21.95,0.03,97,2.49,3958.55,1.75,3956.8,-0.68,2.57,2.83,-0.28,-0.55,0.39,2.81,2.29,2.21,1.46,0.3,0.14
85,-0.61,0.04,96,34.08,3986.82,7.03,3979.79,-0.62,2.32,1.24,-0.23,-0.5,0.55,2.74,2.13,2.15,1.4,0.26,0.14
86,24.01,0.04,96,3.35,4002.3,2.23,4000.06,-0.1,1.4,0.71,0.3,0.08,0.14,2.5,1.69,2.71,1.38,0.21,0.12
87,14.07,0.02,98,16.08,3950.73,6.22,3944.51,-0.31,1.87,2.59,0.03,-0.31,0.43,2.52,2.14,2.5,1.43,0.1,0.12
88,22.46,0.01,99,6.91,4072.6,3.71,4068.89,-0.28,2.22,1.96,0.14,-0.2,0.3,2.7,2.09,2.37,1.43,0.18,0.12
89,19.99,0.03,97,6.21,4022.02,3.95,4018.06,-0.22,1.85,1.85,0.14,-0.21,0.29,2.75,2.2,2.27,1.44,0.1,0.13
90,21.3,0.03,97,2.16,4173.77,1.58,4172.19,-0.6,3.32,2.41,-0.11,-0.55,0.76,2.8,2.22,2.38,1.48,0.31,0.12
91,16.5,0.01,99,13.98,4123.6,5.48,4118.12,-0.23,1.56,1.44,0.12,-0.14,0.32,2.58,2.1,2.52,1.44,0.05,0.12
92,8.57,0.04,96,22.04,4282.28,4.63,4277.65,-0.13,1.76,0.87,0.24,-0.13,0.51,2.52,1.94,2.56,1.4,0.2,0.12
93,-7.92,0.06,94,36.28,4419.0,7.91,4411.09,-0.11,1.7,2.48,0.25,-0.15,0.13,2.63,2.02,2.76,1.48,0.27,0.12
94,22.21,0.01,99,8.36,4235.22,3.81,4231.41,-0.34,2.5,2.23,0.12,-0.26,0.38,2.62,1.97,2.48,1.41,0.22,0.12
95,-1.23,0.04,96,30.31,4356.18,6.31,4349.88,-0.41,2.12,2.19,-0.05,-0.39,0.47,2.7,2.2,2.49,1.48,0.12,0.12
96,21.02,0.03,97,6.56,4439.25,4.18,4435.07,0.21,0.89,0.49,0.59,0.39,-0.01,2.44,1.81,2.82,1.42,0.34,0.12
97,-1.49,0.07,93,29.98,4354.31,6.74,4347.57,-0.16,1.04,1.33,0.11,-0.14,0.16,2.57,1.97,2.57,1.42,0.14,0.13
98,17.87,0.05,95,6.08,4409.38,3.91,4405.47,-0.32,0.98,1.57,-0.06,-0.22,0.01,2.67,2.07,2.44,1.44,0.3,0.12
99,24.65,0.02,98,7.88,4489.04,4.29,4484.76,-0.15,1.28,1.17,0.21,-0.04,0.11,2.29,1.81,2.64,1.35,0.06,0.12
