episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
95,45.42,0.09,91,22.2,4294.76,5.0,4289.76,-0.39,0.89,1.2,-0.2,-0.44,0.21,2.58,2.1,2.33,0.47,0.42,0.14
96,66.78,0.03,97,6.05,4327.23,3.89,4323.34,-0.95,2.84,1.56,-0.54,-0.76,0.53,2.95,2.34,1.93,0.48,0.56,0.14
97,45.81,0.04,96,31.79,4370.86,7.17,4363.69,-0.46,1.3,0.68,-0.23,-0.54,0.36,2.72,2.1,2.28,0.47,0.4,0.15
98,66.78,0.03,97,6.05,4470.67,3.89,4466.78,-0.96,2.95,2.9,-0.58,-0.83,0.6,2.97,2.32,1.93,0.48,0.44,0.13
99,65.86,0.03,97,7.11,4465.64,3.93,4461.71,-0.43,1.13,1.97,-0.24,-0.56,0.32,2.62,2.06,2.57,0.48,0.43,0.13
100,37.75,0.11,89,27.69,4583.03,7.55,4575.48,-0.76,2.6,2.98,-0.49,-0.97,0.63,2.84,2.27,2.1,0.48,0.54,0.12
101,52.65,0.02,98,26.82,4577.23,6.81,4570.43,-0.48,1.31,1.02,-0.26,-0.54,0.28,2.81,2.12,2.19,0.48,0.38,0.13
102,72.61,0.0,100,6.62,4595.33,3.55,4591.78,-0.44,1.19,0.93,-0.21,-0.51,0.19,2.54,1.92,2.42,0.46,0.4,0.16
103,61.02,0.02,98,16.06,4663.83,5.22,4658.61,-0.33,0.63,0.74,-0.15,-0.35,0.03,2.64,2.03,2.45,0.48,0.45,0.83
104,55.71,0.02,98,23.57,4690.87,5.91,4684.96,-0.64,2.1,2.71,-0.38,-0.82,0.32,2.62,1.96,2.38,0.46,0.57,0.15
105,57.24,0.04,96,15.25,4787.79,5.96,4781.83,-1.7,6.1,4.39,-1.09,-1.67,1.46,3.34,2.62,1.5,0.5,0.66,0.16
106,67.05,0.02,98,9.03,4858.04,5.08,4852.96,0.09,-0.69,-0.03,0.13,-0.12,-0.21,2.39,1.86,2.7,0.46,0.68,0.13
107,56.45,0.02,98,22.15,4915.87,6.73,4909.14,-1.25,4.55,3.59,-0.79,-1.36,1.24,2.92,2.29,1.87,0.47,0.57,0.12
108,64.2,0.01,99,13.52,4959.94,3.39,4956.55,-0.44,1.32,1.96,-0.25,-0.66,0.19,2.66,2.02,2.59,0.48,0.62,0.12
109,55.98,0.02,98,23.69,4960.39,5.37,4955.02,-0.55,1.52,1.5,-0.3,-0.57,0.34,2.61,1.96,2.28,0.46,0.34,0.13
110,52.96,0.05,95,22.8,5019.33,5.14,5014.19,0.14,-0.78,0.03,0.17,-0.09,-0.28,2.12,1.48,2.9,0.43,0.75,0.13
111,40.06,0.03,97,38.76,5086.55,8.77,5077.77,-1.51,5.12,4.89,-0.98,-1.46,1.06,3.33,2.68,1.68,0.51,0.6,0.13
112,55.42,0.04,96,20.27,5210.49,4.95,5205.54,-0.14,-0.38,-0.04,0.01,-0.01,-0.07,2.37,1.85,2.62,0.46,0.56,0.14
113,72.5,0.01,99,4.27,5283.39,2.85,5280.55,-0.06,-0.47,0.01,0.05,-0.04,-0.23,2.5,1.86,2.59,0.46,0.54,0.15
114,42.85,0.05,95,36.21,5269.93,8.65,5261.28,-0.41,1.02,1.67,-0.22,-0.47,0.18,2.44,1.67,2.39,0.43,0.45,0.13
115,71.53,0.0,100,5.62,5224.13,3.57,5220.56,-0.94,3.04,2.53,-0.56,-0.94,0.71,3.01,2.44,1.99,0.5,0.36,0.13
116,55.89,0.04,96,17.91,5378.1,4.06,5374.04,-1.5,5.49,4.12,-0.96,-1.6,1.36,3.09,2.4,1.77,0.48,0.63,0.13
117,69.78,0.0,100,7.37,5418.3,4.64,5413.66,-1.42,4.76,4.37,-0.9,-1.32,1.03,3.16,2.65,1.74,0.5,0.57,0.12
118,57.84,0.03,97,16.66,5451.0,6.2,5444.8,-1.7,5.88,6.53,-1.13,-1.7,1.1,3.35,2.65,1.45,0.5,0.66,0.12
119,53.05,0.03,97,23.85,5463.73,6.28,5457.44,-0.62,1.69,1.63,-0.33,-0.54,0.33,2.78,2.14,2.3,0.48,0.36,0.13
120,49.33,0.05,95,25.58,5564.21,6.76,5557.45,-0.22,-0.16,-0.17,0.01,0.1,-0.18,2.5,1.81,2.68,0.47,0.65,0.15
121,56.34,0.03,97,19.26,5466.27,5.59,5460.68,-0.91,2.7,1.91,-0.53,-0.76,0.56,2.97,2.44,1.89,0.49,0.56,0.16
122,66.07,0.02,98,9.1,5627.07,3.83,5623.24,-1.17,3.72,3.73,-0.73,-1.11,0.78,3.03,2.32,1.89,0.48,0.45,0.13
123,59.82,0.03,97,14.31,5659.05,5.17,5653.88,-1.42,5.03,5.25,-0.95,-1.56,1.19,3.11,2.54,1.75,0.49,0.61,0.8
124,66.49,0.01,99,11.49,5723.0,5.91,5717.09,-0.89,3.1,3.1,-0.56,-1.06,0.61,2.85,2.14,2.06,0.47,0.51,0.13
125,50.57,0.03,97,29.36,5758.01,6.89,5751.11,-0.31,0.58,1.1,-0.13,-0.34,0.06,2.42,1.69,2.57,0.44,0.48,0.12
126,38.29,0.02,98,44.68,5812.98,8.35,5804.63,-0.99,3.2,3.15,-0.61,-0.98,0.83,2.85,2.36,2.06,0.48,0.35,0.13
127,61.23,0.02,98,15.66,5872.19,4.66,5867.53,-0.51,0.85,0.47,-0.22,-0.15,0.2,2.65,2.1,2.4,0.48,0.69,0.13
128,67.07,0.01,99,12.63,5930.3,5.39,5924.91,0.05,-0.66,0.06,0.09,-0.12,-0.16,2.23,1.64,2.74,0.44,0.67,0.13
129,51.87,0.02,98,28.16,5951.96,6.27,5945.69,-0.29,0.6,0.59,-0.12,-0.36,0.19,2.47,1.91,2.66,0.47,0.47,0.13
130,56.77,0.02,98,19.04,5991.89,4.38,5987.51,-1.51,5.23,4.08,-0.95,-1.44,1.47,3.26,2.74,1.7,0.51,0.6,0.14
131,57.8,0.01,99,20.61,6110.94,4.44,6106.51,-1.35,4.9,3.46,-0.86,-1.49,1.27,3.15,2.52,1.85,0.5,0.59,0.14
132,57.47,0.01,99,22.21,6112.38,6.14,6106.24,-0.81,2.47,2.43,-0.48,-0.77,0.51,2.84,2.28,2.11,0.48,0.33,0.12
133,54.53,0.04,96,21.56,6001.85,5.44,5996.42,-0.31,0.02,-0.1,-0.06,0.11,-0.1,2.64,1.82,2.35,0.45,0.75,0.13
134,60.76,0.0,100,19.28,6255.8,7.17,6248.64,-1.43,4.87,3.96,-0.9,-1.35,1.27,3.06,2.5,1.86,0.5,0.58,0.14
135,73.02,0.01,99,2.45,6242.92,1.73,6241.19,-0.65,1.73,1.39,-0.33,-0.49,0.22,2.86,2.21,2.15,0.48,0.42,0.12
136,73.92,0.0,100,4.59,6184.26,2.96,6181.3,-0.02,-0.56,0.01,0.08,-0.08,-0.17,2.44,1.77,2.76,0.46,0.58,0.12
