,alg,env_name,qoe_included,obj_included,cost_weight,qoe_weight,latency_weight,gini_weight,qoe_simulation_mode,qoe_accuracy,train_avg_qoe,train_gini,train_avg_total_latency,train_avg_deployment_cost,train_ep_accepted_requests,test_avg_qoe,test_gini,test_avg_total_latency,test_avg_deployment_cost,test_ep_accepted_requests
11,mask_ppo,nne,True,False,0.5,0.5,0.0,0.0,Real,0.0,6.614364723467862,0.4013303437967115,50.076238166417546,12.803946188340806,99.47433981066268,6.7409,0.5756,67.17929999999998,7.425799999999999,99.54
12,mask_ppo,nne,True,True,0.0,0.0,1.0,0.0,Simulation,0.9,6.509476831091181,0.17923268560039862,34.7585201793722,19.233228699551567,99.38614848031888,6.644299999999999,0.2605,38.2389,15.8622,99.51
13,mask_ppo,nne,True,False,0.0,0.0,0.0,1.0,Real,0.0,6.462999501743896,0.16249128051818634,34.13870951669158,19.37440956651719,99.23916292974589,6.460899999999999,0.15410000000000001,33.756800000000005,17.4037,99.46
14,mask_ppo,nne,True,False,0.0,0.5,0.0,0.5,Simulation,1.0,6.470767314399601,0.1751420029895366,34.65027902341804,19.6002192326856,99.44693572496263,6.7527,0.19419999999999998,35.2757,19.4446,99.02
15,mask_ppo,nne,True,False,0.5,0.0,0.0,0.5,Real,0.0,6.458485301444943,0.25723467862481314,37.83880916791231,14.935470852017936,99.40059790732437,6.334,0.31870000000000004,39.9078,10.921600000000002,99.51
16,mask_ppo,nne,True,False,0.0,0.0,1.0,0.0,Simulation,0.8,6.501131041355257,0.18491280518186348,34.89949177877429,19.209636273044346,99.29596412556054,6.412600000000001,0.1612,33.8942,17.191499999999998,99.47
17,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Real,0.0,6.498290981564524,0.4831988041853513,59.34084205281515,19.063971101145988,99.14499252615845,6.569700000000001,0.5129999999999999,55.59409999999999,16.814499999999995,99.55
18,mask_ppo,nne,True,False,0.0,0.5,0.5,0.0,Simulation,1.0,6.612376681614349,0.23243148978574987,37.2107125062282,18.724195316392628,99.42850024912805,6.8726,0.2546,37.268899999999995,16.2307,99.53
19,mask_ppo,nne,True,False,0.0,0.5,0.5,0.0,Simulation,0.9,6.643313403089189,0.23335326357747885,36.978948679621325,19.43737419033383,99.4932735426009,7.322499999999999,0.29339999999999994,40.2669,17.280399999999997,99.47
20,mask_ppo,nne,True,False,0.0,1.0,0.0,0.0,Simulation,1.0,7.3428500249128055,0.3809516691579472,49.38129546586946,22.17449427005481,99.47234678624814,8.320699999999999,0.44870000000000004,56.781499999999994,20.878899999999994,99.53
